id,nama_data
,Realisasi Investasi PMA Sektor Konstruksi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Konstruksi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Konstruksi Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Konstruksi Menurut Kabupaten Kota (Triwulan)
,"Realisasi Investasi PMA Sektor Tanaman Pangan, Perkebunan, dan Peternakan Menurut Kabupaten Kota (Triwulan)"
,Realisasi Investasi PMA Sektor Kehutanan Menurut Kabupaten Kota (Triwulan)
,"Realisasi Investasi PMA Sektor Tanaman Pangan, Perkebunan, dan Peternakan Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMDN Sektor Tanaman Pangan, Perkebunan, dan Peternakan Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMDN Sektor Tanaman Pangan, Perkebunan, dan Peternakan Menurut Kabupaten Kota (Triwulan)"
,Realisasi Investasi PMA Sektor Kehutanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Kehutanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Kehutanan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Perikanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Perikanan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Perikanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Perikanan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Pertambangan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Pertambangan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Pertambangan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Pertambangan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Makanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Makanan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Makanan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Makanan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Tekstil Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Tekstil Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Tekstil Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Tekstil Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Barang dari Kulit dan Alas Kaki Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Barang dari Kulit dan Alas Kaki Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Barang dari Kulit dan Alas Kaki Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Barang dari Kulit dan Alas Kaki Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kayu Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kayu Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kayu Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kayu Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kertas dan Percetakan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kertas dan Percetakan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kertas dan Percetakan Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kertas dan Percetakan Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kimia Dan Farmasi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kimia Dan Farmasi Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kimia Dan Farmasi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kimia Dan Farmasi Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Karet dan Plastik Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Karet dan Plastik Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Karet dan Plastik Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Karet dan Plastik Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Mineral Non Logam Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Mineral Non Logam Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Mineral Non Logam Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Mineral Non Logam Menurut Kabupaten Kota (Triwulan)
,"Realisasi Investasi PMA Sektor Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMA Sektor Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya Menurut Kabupaten Kota (Triwulan)"
,"Realisasi Investasi PMDN Sektor Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMDN Sektor Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya Menurut Kabupaten Kota (Triwulan)"
,"Realisasi Investasi PMA Sektor Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMA Sektor Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam Menurut Kabupaten Kota (Triwulan)"
,"Realisasi Investasi PMDN Sektor Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMDN Sektor Industri  Mesin, Elektronik, Instrumen Kedokteran, Peralatan Listrik, Presisi, Optik dan Jam Menurut Kabupaten Kota (Triwulan)"
,Realisasi Investasi PMA Sektor Industri Kendaraan Bermotor dan Alat Transportasi Lain Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Kendaraan Bermotor dan Alat Transportasi Lain Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kendaraan Bermotor dan Alat Transportasi Lain Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Kendaraan Bermotor dan Alat Transportasi Lain Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Industri Lainnya Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Industri Lainnya Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Lainnya Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Industri Lainnya Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMA Sektor Perdagangan dan Reparasi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Perdagangan dan Reparasi Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Perdagangan dan Reparasi Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Perdagangan dan Reparasi Menurut Kabupaten Kota (Triwulan)
,"Realisasi Investasi PMA Sektor Listrik, Gas dan Air Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMA Sektor Listrik, Gas dan Air Menurut Kabupaten Kota (Triwulan)"
,"Realisasi Investasi PMDN Sektor Listrik, Gas dan Air Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMDN Sektor Listrik, Gas dan Air Menurut Kabupaten Kota (Triwulan)"
,Realisasi Investasi PMA Sektor Jasa Lainnya Menurut Provinsi (Triwulan)
,Realisasi Investasi PMA Sektor Jasa Lainnya Menurut Kabupaten Kota (Triwulan)
,Realisasi Investasi PMDN Sektor Jasa Lainnya Menurut Provinsi (Triwulan)
,Realisasi Investasi PMDN Sektor Jasa Lainnya Menurut Kabupaten Kota (Triwulan)
,"Realisasi Investasi PMA Sektor Transportasi, Gudang dan Telekomunikasi Menurut Provinsi (Triwulan)"
,"Realisasi Investasi PMA Sektor Transportasi, Gudang dan Telekomunikasi Menurut Kabupaten Kota (Triwulan)"
,"Realisasi Investasi PMDN Sektor Transportasi, Gudang dan Telekomunikasi Menurut Provinsi (Triwulan)"
